,entity,day,accuracy,macroPrecision,macroRecall,macroF1
0,GameStop,1st Day,0.45098039215686275,0.1503267973856209,0.3333333333333333,0.2072072072072072
1,GameStop,2nd Day,0.5490196078431373,0.381159420289855,0.3521202361782072,0.29973907371167646
2,GameStop,3rd Day,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222
3,GameStop,4th Day,0.46,0.4829931972789116,0.345679012345679,0.23038229376257544
4,GameStop,5th Day,0.42,0.7040816326530612,0.5166666666666667,0.3221131369798972
5,Wingstop,1st Day,0.547945205479452,0.273972602739726,0.5,0.35398230088495575
6,Wingstop,2nd Day,0.5068493150684932,0.2534246575342466,0.5,0.33636363636363636
7,Wingstop,3rd Day,0.5616438356164384,0.5316901408450705,0.5034298780487805,0.3865546218487395
8,Wingstop,4th Day,0.5972222222222222,0.2986111111111111,0.5,0.3739130434782609
9,Wingstop,5th Day,0.5833333333333334,0.4264705882352941,0.48376623376623373,0.39732142857142855
10,Nvidia,1st Day,0.5384615384615384,0.1794871794871795,0.3333333333333333,0.2333333333333333
11,Nvidia,2nd Day,0.5576923076923077,0.1858974358974359,0.3333333333333333,0.23868312757201646
12,Nvidia,3rd Day,0.6057692307692307,0.30288461538461536,0.5,0.3772455089820359
13,Nvidia,4th Day,0.625,0.3125,0.5,0.38461538461538464
14,Nvidia,5th Day,0.5288461538461539,0.1762820512820513,0.3333333333333333,0.23060796645702306
15,Dogecoin,1st Day,0.5205479452054794,0.2602739726027397,0.5,0.34234234234234234
16,Dogecoin,2nd Day,0.5068493150684932,0.2534246575342466,0.5,0.33636363636363636
17,Dogecoin,3rd Day,0.410958904109589,0.2054794520547945,0.5,0.2912621359223301
18,Dogecoin,4th Day,0.4657534246575342,0.2328767123287671,0.5,0.3177570093457944
19,Dogecoin,5th Day,0.6027397260273972,0.5833333333333333,0.5822884012539185,0.5826926867731126
20,General,1st Day,0.5521885521885522,0.3447204968944099,0.3369509043927648,0.27724867724867724
21,General,2nd Day,0.5084175084175084,0.2539817974971558,0.3291448034612906,0.2287814566824334
22,General,3rd Day,0.5151515151515151,0.1717171717171717,0.3333333333333333,0.22666666666666668
23,General,4th Day,0.5387205387205387,0.34668989547038326,0.3352623456790123,0.25415927383064624
24,General,5th Day,0.5252525252525253,0.39426523297491034,0.3475862068965517,0.2728559783774508
